"","customer_id","segment","rfm_score","transaction_count","recency_days","amount","recency_score","frequency_score","monetary_score"
"236",1658,"New Ones",846,9,90,933,8,4,6
"237",31570,"Require Assistance",544,9,169,769,5,4,4
"238",32149,"New Ones",813,6,85,657,8,1,3
"239",11336,"Almost Out",111,3,437,202,1,1,1
"240",3356,"New Ones",846,9,79,932,8,4,6
"241",34920,"New Ones",954,10,47,763,9,5,4
"242",867,"Require Assistance",443,9,183,732,4,4,3
"243",37814,"Getting Less Frequent",475,11,185,851,4,7,5
"244",33666,"Loyal",897,13,94,1043,8,9,7
"245",39210,"Almost Out",111,4,505,142,1,1,1
"246",21650,"New Ones",992,13,62,635,9,9,2
"247",38760,"New Ones",1044,9,29,748,10,4,4
"248",32778,"Require Assistance",434,8,204,799,4,3,4
"249",29092,"Others",309,15,273,1267,2,10,9
"250",23007,"Almost Out",111,3,499,321,1,1,1
"251",26203,"Likely to be Loyal",958,10,52,1116,9,5,8
"252",10910,"Require Assistance",124,7,444,781,1,2,4
"253",27285,"New Ones",1034,8,33,790,10,3,4
"254",37197,"Can't Lose Them",700,14,130,1400,6,9,10
"255",29609,"Getting Less Frequent",487,12,178,1025,4,8,7
"256",32621,"Loyal",989,12,53,1244,9,8,9
"257",18086,"Likely to be Loyal",857,10,98,1058,8,5,7
"258",8824,"New Ones",836,8,99,917,8,3,6
"259",17480,"Can't Lose Them",499,14,194,1238,4,9,9
"260",30005,"Can't Lose Them",400,13,239,1405,3,9,10
"261",4344,"First Grade",1010,16,61,1621,9,10,10
"262",17635,"New Ones",752,10,112,582,7,5,2
"263",35716,"New Ones",911,3,72,105,9,1,1
"264",27183,"Require Assistance",346,9,252,988,3,4,6
"265",12801,"Can't Lose Them",649,9,140,1290,6,4,9
"266",28732,"Getting Less Frequent",457,10,184,1021,4,5,7
"267",15920,"Require Assistance",431,8,180,429,4,3,1
"268",9119,"First Grade",1010,16,71,1716,9,10,10
"269",6605,"New Ones",1033,8,13,729,10,3,3
"270",10472,"New Ones",1045,9,27,862,10,4,5
"271",18230,"Likely to be Loyal",656,10,140,924,6,5,6
"272",26963,"Getting Less Frequent",112,5,395,575,1,1,2
"273",12108,"New Ones",824,7,79,802,8,2,4
"274",21571,"First Grade",1110,18,38,1592,10,10,10
"275",7052,"Can't Lose Them",398,14,256,1223,3,9,8
"276",6833,"Can't Lose Them",148,9,399,1146,1,4,8
"277",15509,"New Ones",738,8,122,1136,7,3,8
"278",23492,"New Ones",1024,7,35,763,10,2,4
"279",20862,"Require Assistance",123,7,446,712,1,2,3
"280",896,"Require Assistance",332,8,215,560,3,3,2
"281",6608,"Can't Lose Them",498,13,205,1126,4,9,8
"282",32000,"Almost Out",111,4,412,312,1,1,1
"283",27750,"Require Assistance",355,10,253,885,3,5,5
"284",7581,"Likely to be Loyal",955,10,56,896,9,5,5
"285",352,"Getting Less Frequent",457,10,177,1095,4,5,7
"286",3205,"Require Assistance",156,10,456,955,1,5,6
"287",22309,"New Ones",1048,9,28,1153,10,4,8
"288",28729,"New Ones",843,9,81,648,8,4,3
"289",22337,"Require Assistance",521,7,160,475,5,2,1
"290",18312,"Almost Out",411,6,184,358,4,1,1
"291",9897,"Getting Less Frequent",247,9,280,1022,2,4,7
"292",30142,"New Ones",852,10,82,590,8,5,2
"293",39015,"New Ones",814,6,99,802,8,1,4
"294",5687,"Getting Less Frequent",376,11,241,965,3,7,6
"295",28713,"Almost Out",211,3,327,82,2,1,1
"296",23489,"Others",511,6,167,415,5,1,1
"297",27345,"Almost Out",411,6,194,507,4,1,1
"298",32784,"Getting Less Frequent",237,8,289,1011,2,3,7
"299",23606,"Can't Lose Them",188,12,477,1140,1,8,8
"300",23057,"Require Assistance",322,7,260,613,3,2,2
"301",17232,"Loyal",889,12,92,1246,8,8,9
"302",29494,"Loyal",1098,14,45,1126,10,9,8
"303",3990,"Likely to be Loyal",895,13,96,888,8,9,5
"304",11831,"Loyal",910,16,84,1523,8,10,10
"305",33207,"Loyal",888,12,91,1132,8,8,8
"306",2703,"Likely to be Loyal",599,13,166,1325,5,9,9
"307",3885,"First Grade",1099,14,45,1325,10,9,9
"308",6895,"New Ones",945,9,74,838,9,4,5
"309",32528,"New Ones",1053,10,39,703,10,5,3
"310",23371,"Others",512,5,156,626,5,1,2
"311",13834,"New Ones",912,6,57,545,9,1,2
"312",18862,"New Ones",844,9,98,814,8,4,4
"313",4280,"New Ones",1023,7,29,692,10,2,3
"314",14990,"First Grade",1010,20,64,1948,9,10,10
"315",4772,"Can't Lose Them",700,13,149,1450,6,9,10
"316",3730,"New Ones",622,7,140,590,6,2,2
"317",3059,"Require Assistance",454,10,202,791,4,5,4
"318",39158,"Likely to be Loyal",656,10,136,931,6,5,6
"319",13426,"Require Assistance",145,9,412,847,1,4,5
"320",15680,"Loyal",900,14,97,1556,8,9,10
"321",8501,"Likely to be Loyal",985,12,58,848,9,8,5
"322",4919,"Getting Less Frequent",113,6,547,684,1,1,3
"323",11689,"Require Assistance",224,7,391,783,2,2,4
"324",12915,"Almost Out",311,5,224,403,3,1,1
"325",33635,"Can't Lose Them",388,12,251,1196,3,8,8
"326",28335,"Likely to be Loyal",776,11,119,932,7,7,6
"327",17202,"Likely to be Loyal",586,12,172,918,5,8,6
"328",21879,"New Ones",974,11,69,775,9,7,4
"329",17654,"New Ones",733,8,117,678,7,3,3
"330",39733,"Getting Less Frequent",237,8,331,1025,2,3,7
"331",31994,"Getting Less Frequent",312,6,219,555,3,1,2
"332",2573,"New Ones",954,10,56,783,9,5,4
"333",36068,"Require Assistance",223,7,387,709,2,2,3
"334",39830,"Getting Less Frequent",276,11,324,984,2,7,6
"335",34275,"Can't Lose Them",548,9,174,1121,5,4,8
"336",36102,"Loyal",809,15,113,1360,7,10,9
"337",22653,"Require Assistance",334,8,238,809,3,3,4
"338",22859,"Others",609,15,150,1324,5,10,9
"339",31706,"Require Assistance",422,7,184,639,4,2,2
"340",2330,"Require Assistance",152,10,457,602,1,5,2
"341",28552,"Loyal",910,18,88,2162,8,10,10
"342",1750,"Loyal",900,14,98,1444,8,9,10
"343",19939,"Require Assistance",154,10,444,808,1,5,4
"344",13570,"Likely to be Loyal",959,10,61,1348,9,5,9
"345",37471,"Loyal",910,16,99,1553,8,10,10
"346",10485,"Require Assistance",134,8,451,776,1,3,4
"347",29129,"New Ones",937,8,58,1045,9,3,7
"348",35712,"New Ones",838,8,95,1125,8,3,8
"349",37999,"Getting Less Frequent",247,9,303,1018,2,4,7
"350",21922,"Others",610,16,173,1848,5,10,10
"351",35380,"New Ones",711,6,108,260,7,1,1
"352",34779,"Require Assistance",122,7,486,632,1,2,2
"353",10478,"New Ones",735,8,125,850,7,3,5
"354",21975,"Getting Less Frequent",357,10,260,1041,3,5,7
"355",24305,"New Ones",645,9,126,899,6,4,5
"356",7538,"Loyal",810,19,107,2092,7,10,10
"357",28875,"Require Assistance",145,9,538,884,1,4,5
"358",29590,"Others",510,15,185,1576,4,10,10
"359",38922,"Others",511,6,173,413,5,1,1
"360",14148,"Can't Lose Them",600,14,156,1462,5,9,10
"361",906,"Others",710,17,128,1771,6,10,10
"362",14094,"Require Assistance",233,8,366,682,2,3,3
"363",11713,"Others",511,6,158,465,5,1,1
"364",1058,"New Ones",725,7,106,874,7,2,5
"365",27141,"Others",308,16,302,1207,2,10,8
"366",24053,"Require Assistance",136,8,528,932,1,3,6
"367",8688,"New Ones",621,7,129,492,6,2,1
"368",7257,"Require Assistance",123,7,525,648,1,2,3
"369",7011,"Can't Lose Them",399,14,240,1351,3,9,9
"370",35207,"Likely to be Loyal",955,10,68,910,9,5,5
"371",2926,"New Ones",837,8,82,1051,8,3,7
"372",32611,"Require Assistance",126,7,402,947,1,2,6
"373",20581,"New Ones",1055,10,23,871,10,5,5
"374",13652,"Loyal",978,11,49,1119,9,7,8
"375",36595,"New Ones",634,8,138,810,6,3,4
"376",20128,"Require Assistance",421,7,179,367,4,2,1
"377",38148,"Likely to be Loyal",895,13,100,901,8,9,5
"378",35137,"Likely to be Loyal",597,13,159,1031,5,9,7
"379",11144,"Loyal",1079,11,28,1229,10,7,9
"380",11074,"Others",510,16,186,1674,4,10,10
"381",10413,"Likely to be Loyal",776,11,124,933,7,7,6
"382",6265,"Require Assistance",143,9,435,642,1,4,3
"383",12538,"New Ones",912,6,58,593,9,1,2
"384",12793,"New Ones",642,9,130,577,6,4,2
"385",13002,"Likely to be Loyal",676,11,132,953,6,7,6
"386",35374,"Others",573,11,165,641,5,7,3
"387",11851,"Getting Less Frequent",147,9,438,1006,1,4,7
"388",11542,"Getting Less Frequent",477,11,202,1062,4,7,7
"389",6290,"Require Assistance",422,7,188,570,4,2,2
"390",36237,"New Ones",622,7,140,616,6,2,2
"391",16359,"Require Assistance",444,9,190,783,4,4,4
"392",3164,"Loyal",1079,11,40,1248,10,7,9
"393",32548,"Getting Less Frequent",357,10,213,1070,3,5,7
"394",33908,"Can't Lose Them",500,14,178,1595,4,9,10
"395",26463,"Require Assistance",424,7,184,752,4,2,4
"396",15036,"Can't Lose Them",400,14,224,1575,3,9,10
"397",12365,"Require Assistance",523,7,163,653,5,2,3
"398",28054,"New Ones",1022,7,21,596,10,2,2
"399",27742,"Likely to be Loyal",588,12,150,1215,5,8,8
"400",21408,"Require Assistance",146,9,486,954,1,4,6
"401",23244,"Likely to be Loyal",599,14,151,1240,5,9,9
"402",7412,"New Ones",711,5,123,335,7,1,1
"403",31374,"New Ones",745,9,121,912,7,4,5
"404",31042,"Loyal",1087,12,14,1006,10,8,7
"405",37767,"Others",710,20,143,1804,6,10,10
"406",240,"Likely to be Loyal",557,10,172,1040,5,5,7
"407",2112,"First Grade",1100,14,12,2019,10,9,10
"408",24560,"Likely to be Loyal",678,11,142,1223,6,7,8
"409",34438,"Loyal",1089,12,46,1266,10,8,9
"410",26095,"New Ones",813,6,86,682,8,1,3
"411",20191,"Likely to be Loyal",556,10,152,957,5,5,6
"412",33075,"New Ones",1032,8,36,570,10,3,2
"413",23903,"Likely to be Loyal",656,10,145,922,6,5,6
"414",2021,"Loyal",799,14,110,1384,7,9,9
"415",11941,"Require Assistance",443,9,181,676,4,4,3
"416",56,"Require Assistance",146,9,486,970,1,4,6
"417",26674,"Likely to be Loyal",856,10,99,918,8,5,6
"418",36063,"New Ones",646,9,126,963,6,4,6
"419",29915,"New Ones",646,9,126,934,6,4,6
"420",24798,"Require Assistance",454,10,191,775,4,5,4
"421",1712,"Getting Less Frequent",274,11,376,772,2,7,4
"422",15577,"Getting Less Frequent",112,6,516,524,1,1,2
"423",2147,"Loyal",998,14,59,1103,9,9,8
"424",31134,"Others",309,15,297,1306,2,10,9
"425",5502,"New Ones",622,7,144,521,6,2,2
"426",21798,"New Ones",1055,10,21,882,10,5,5
"427",32547,"Require Assistance",546,9,168,957,5,4,6
"428",25790,"Loyal",1098,14,3,1117,10,9,8
"429",19619,"Loyal",799,13,125,1250,7,9,9
"430",4382,"New Ones",745,9,117,854,7,4,5
"431",9782,"Require Assistance",322,7,260,602,3,2,2
"432",5867,"New Ones",836,8,97,959,8,3,6
"433",13014,"Others",710,15,141,1536,6,10,10
"434",26768,"Others",511,5,158,365,5,1,1
"435",952,"Require Assistance",122,7,395,609,1,2,2
"436",35610,"Getting Less Frequent",457,10,182,1031,4,5,7
"437",21150,"Require Assistance",456,10,195,930,4,5,6
"438",11494,"Almost Out",111,4,469,203,1,1,1
"439",19151,"Require Assistance",535,8,163,869,5,3,5
"440",21779,"Require Assistance",334,8,251,800,3,3,4
"441",34471,"Likely to be Loyal",577,11,155,1083,5,7,7
"442",9231,"Can't Lose Them",379,11,213,1302,3,7,9
"443",30564,"Require Assistance",121,7,552,395,1,2,1
"444",14374,"Can't Lose Them",488,12,203,1137,4,8,8
"445",29133,"New Ones",646,9,148,951,6,4,6
"446",8799,"Can't Lose Them",488,12,206,1129,4,8,8
"447",10194,"Require Assistance",143,9,404,729,1,4,3
"448",3504,"New Ones",922,7,53,516,9,2,2
"449",3654,"Getting Less Frequent",377,11,215,1059,3,7,7
"450",7993,"New Ones",973,11,57,735,9,7,3
"451",11740,"Can't Lose Them",188,12,401,1105,1,8,8
"452",7825,"Require Assistance",432,8,202,550,4,3,2
"453",24561,"Loyal",789,12,108,1357,7,8,9
"454",14309,"First Grade",1099,13,37,1380,10,9,9
"455",7314,"New Ones",833,8,98,688,8,3,3
"456",38962,"Others",510,17,182,1824,4,10,10
"457",17591,"Almost Out",111,2,929,251,1,1,1
"458",39129,"Can't Lose Them",600,14,160,1398,5,9,10
"459",16207,"Likely to be Loyal",556,10,157,993,5,5,6
"460",35470,"Can't Lose Them",488,12,182,1140,4,8,8
"461",36619,"Almost Out",311,4,246,304,3,1,1
"462",6508,"New Ones",732,8,118,576,7,3,2
"463",28446,"Loyal",797,14,124,1022,7,9,7
"464",17396,"Getting Less Frequent",157,10,510,1089,1,5,7
"465",14881,"New Ones",611,6,134,499,6,1,1
"466",30369,"New Ones",1025,7,24,862,10,2,5
"467",24900,"New Ones",1056,10,17,974,10,5,6
"468",7880,"Others",513,5,170,668,5,1,3
"469",17889,"Require Assistance",255,10,359,845,2,5,5
"470",1190,"Can't Lose Them",398,13,220,1125,3,9,8
"471",30010,"Likely to be Loyal",587,12,152,1091,5,8,7
"472",36840,"Likely to be Loyal",876,11,88,939,8,7,6
"473",36135,"First Grade",1099,13,22,1241,10,9,9
"474",38837,"Can't Lose Them",388,12,229,1186,3,8,8
"475",34063,"New Ones",611,5,143,440,6,1,1
"476",21722,"Likely to be Loyal",657,10,138,1068,6,5,7
"477",37906,"Can't Lose Them",400,14,238,1424,3,9,10
"478",29322,"Require Assistance",126,7,491,935,1,2,6
"479",16814,"New Ones",1053,10,41,697,10,5,3
"480",21323,"New Ones",1057,10,39,1022,10,5,7
"481",37708,"New Ones",945,9,56,845,9,4,5
"482",5005,"Almost Out",211,4,380,424,2,1,1
"483",35133,"Getting Less Frequent",457,10,182,1032,4,5,7
"484",5712,"Can't Lose Them",560,10,171,1413,5,5,10
"485",37996,"New Ones",1033,8,34,663,10,3,3
"486",22884,"Likely to be Loyal",555,10,176,885,5,5,5
"487",16320,"Can't Lose Them",178,11,403,1109,1,7,8
"488",28100,"Likely to be Loyal",956,10,51,996,9,5,6
"489",32456,"New Ones",842,9,99,579,8,4,2
"490",9984,"Likely to be Loyal",886,12,85,978,8,8,6
"491",8898,"Likely to be Loyal",557,10,155,1025,5,5,7
