"","customer_id","recency_days","transaction_count","amount","recency_score","frequency_score","monetary_score","rfm_score"
"94",9920,54,15,1860,9,10,10,1010
"95",34568,123,10,1121,7,5,8,758
"96",26537,225,11,1078,3,7,7,377
"97",9016,224,8,777,3,3,4,334
"98",39972,98,12,1236,8,8,9,889
"99",31644,95,13,1388,8,9,9,899
"100",3626,59,5,613,9,1,2,912
"101",22867,77,9,847,8,4,5,845
"102",26253,277,5,549,2,1,2,212
"103",14938,56,9,968,9,4,6,946
"104",30444,164,10,980,5,5,6,556
"105",26680,73,8,779,9,3,4,934
"106",18260,127,6,719,6,1,3,613
"107",31835,192,9,958,4,4,6,446
"108",28602,324,5,261,2,1,1,211
"109",38433,133,16,1652,6,10,10,710
"110",33465,425,10,902,1,5,5,155
"111",22188,74,9,735,9,4,3,943
"112",21572,262,3,544,3,1,2,312
"113",18108,212,6,777,3,1,4,314
"114",29137,515,7,707,1,2,3,123
"115",30644,234,8,807,3,3,4,334
"116",15440,220,9,1028,3,4,7,347
"117",21382,236,17,1789,3,10,10,410
"118",269,83,13,1339,8,9,9,899
"119",3324,316,10,867,2,5,5,255
"120",13234,67,10,907,9,5,5,955
"121",18608,180,14,1277,4,9,9,499
"122",2327,103,10,996,7,5,6,756
"123",20670,310,7,770,2,2,4,224
"124",9105,292,9,803,2,4,4,244
"125",19342,39,12,805,10,8,4,1084
"126",31640,421,9,924,1,4,6,146
"127",36454,290,7,538,2,2,2,222
"128",38816,154,9,814,5,4,4,544
"129",19635,139,12,891,6,8,5,685
"130",31330,78,14,1072,8,9,7,897
"131",8077,54,15,1328,9,10,9,1009
"132",27347,433,7,717,1,2,3,123
"133",35369,98,19,1972,8,10,10,910
"134",14603,208,7,696,4,2,3,423
"135",14486,90,12,1482,8,8,10,890
"136",8631,136,10,809,6,5,4,654
"137",32709,395,11,1172,1,7,8,178
"138",305,94,10,873,8,5,5,855
"139",20591,194,11,880,4,7,5,475
"140",1335,128,11,957,6,7,6,676
"141",7068,177,16,1286,4,10,9,509
"142",35342,30,14,1267,10,9,9,1099
"143",3357,121,12,1276,7,8,9,789
"144",16912,86,14,1636,8,9,10,900
"145",2568,160,10,1296,5,5,9,559
"146",6229,295,8,531,2,3,2,232
"147",25323,199,11,1269,4,7,9,479
"148",13459,209,7,854,4,2,5,425
"149",7870,72,7,690,9,2,3,923
"150",29419,129,12,1365,6,8,9,689
"151",8468,55,14,1558,9,9,10,1000
"152",36430,784,3,286,1,1,1,111
"153",34120,146,15,1504,6,10,10,710
"154",8391,40,8,840,10,3,5,1035
"155",9873,66,11,1170,9,7,8,978
"156",27524,149,4,539,6,1,2,612
"157",3031,25,18,1802,10,10,10,1110
"158",30183,399,7,699,1,2,3,123
"159",31579,79,8,797,8,3,4,834
"160",25670,69,6,611,9,1,2,912
"161",19918,184,6,645,4,1,3,413
"162",7615,147,16,1477,6,10,10,710
"163",3256,946,1,11,1,1,1,111
"164",1767,167,8,662,5,3,3,533
"165",8721,78,11,1111,8,7,8,878
"166",11279,258,9,608,3,4,2,342
"167",33656,545,4,571,1,1,2,112
"168",9346,29,6,243,10,1,1,1011
"169",13446,440,5,406,1,1,1,111
"170",29811,133,11,1231,6,7,9,679
"171",17234,378,14,1378,2,9,9,299
"172",35229,3,10,635,10,5,2,1052
"173",19451,113,10,760,7,5,4,754
"174",722,136,16,1586,6,10,10,710
"175",6787,151,8,626,5,3,2,532
"176",32140,171,9,709,5,4,3,543
"177",8422,3,11,865,10,7,5,1075
"178",14498,53,13,1024,9,9,7,997
"179",33155,247,9,1030,3,4,7,347
"180",19798,263,16,1384,3,10,9,409
"181",16692,172,13,1746,5,9,10,600
"182",11378,229,6,597,3,1,2,312
"183",28246,36,9,893,10,4,5,1045
"184",37743,202,13,1228,4,9,9,499
"185",35359,98,14,1103,8,9,8,898
"186",15429,214,11,1121,3,7,8,378
"187",22652,143,15,1319,6,10,9,709
"188",27115,241,5,601,3,1,2,312
"189",5219,184,9,482,4,4,1,441
"190",29602,85,7,665,8,2,3,823
"191",9847,156,6,667,5,1,3,513
"192",39067,54,11,904,9,7,5,975
"193",22172,74,10,898,9,5,5,955
"194",5151,160,12,1064,5,8,7,587
"195",34388,37,7,644,10,2,3,1023
"196",35476,93,6,406,8,1,1,811
"197",26036,102,9,969,7,4,6,746
"198",27266,211,12,1359,3,8,9,389
"199",33933,203,9,717,4,4,3,443
"200",15808,636,2,143,1,1,1,111
"201",24956,67,13,1356,9,9,9,999
"202",37891,193,11,1248,4,7,9,479
"203",14730,166,7,658,5,2,3,523
"204",15596,29,11,775,10,7,4,1074
"205",22757,326,9,861,2,4,5,245
"206",12960,80,6,461,8,1,1,811
"207",17190,229,13,1287,3,9,9,399
"208",7393,244,7,527,3,2,2,322
"209",27507,68,13,1259,9,9,9,999
"210",38046,201,10,912,4,5,5,455
"211",28789,83,13,1508,8,9,10,900
"212",33551,447,9,807,1,4,4,144
"213",21616,87,16,995,8,10,6,906
"214",38869,177,13,1436,4,9,10,500
"215",7757,95,11,1095,8,7,7,877
"216",20083,87,14,1128,8,9,8,898
"217",4697,398,3,224,1,1,1,111
"218",19776,121,13,1073,7,9,7,797
"219",16705,173,16,1439,5,10,10,610
"220",22004,354,11,1454,2,7,10,280
"221",10972,97,10,1071,8,5,7,857
"222",5936,174,11,1118,5,7,8,578
"223",2521,124,10,1262,7,5,9,759
"224",31716,187,10,1314,4,5,9,459
"225",22410,114,5,492,7,1,1,711
"226",37614,135,14,1372,6,9,9,699
"227",177,357,7,457,2,2,1,221
"228",31226,512,3,118,1,1,1,111
"229",396,151,8,626,5,3,2,532
"230",10584,201,10,1209,4,5,8,458
"231",24522,25,8,578,10,3,2,1032
"232",20085,71,12,886,9,8,5,985
"233",18122,471,5,559,1,1,2,112
"234",10914,132,7,844,6,2,5,625
"235",31578,327,17,1703,2,10,10,310
"236",1658,90,9,933,8,4,6,846
"237",31570,169,9,769,5,4,4,544
"238",32149,85,6,657,8,1,3,813
"239",11336,437,3,202,1,1,1,111
"240",3356,79,9,932,8,4,6,846
"241",34920,47,10,763,9,5,4,954
"242",867,183,9,732,4,4,3,443
"243",37814,185,11,851,4,7,5,475
"244",33666,94,13,1043,8,9,7,897
"245",39210,505,4,142,1,1,1,111
"246",21650,62,13,635,9,9,2,992
"247",38760,29,9,748,10,4,4,1044
"248",32778,204,8,799,4,3,4,434
"249",29092,273,15,1267,2,10,9,309
"250",23007,499,3,321,1,1,1,111
"251",26203,52,10,1116,9,5,8,958
"252",10910,444,7,781,1,2,4,124
"253",27285,33,8,790,10,3,4,1034
"254",37197,130,14,1400,6,9,10,700
"255",29609,178,12,1025,4,8,7,487
"256",32621,53,12,1244,9,8,9,989
"257",18086,98,10,1058,8,5,7,857
"258",8824,99,8,917,8,3,6,836
"259",17480,194,14,1238,4,9,9,499
"260",30005,239,13,1405,3,9,10,400
"261",4344,61,16,1621,9,10,10,1010
"262",17635,112,10,582,7,5,2,752
"263",35716,72,3,105,9,1,1,911
"264",27183,252,9,988,3,4,6,346
"265",12801,140,9,1290,6,4,9,649
"266",28732,184,10,1021,4,5,7,457
"267",15920,180,8,429,4,3,1,431
"268",9119,71,16,1716,9,10,10,1010
"269",6605,13,8,729,10,3,3,1033
"270",10472,27,9,862,10,4,5,1045
"271",18230,140,10,924,6,5,6,656
"272",26963,395,5,575,1,1,2,112
"273",12108,79,7,802,8,2,4,824
"274",21571,38,18,1592,10,10,10,1110
"275",7052,256,14,1223,3,9,8,398
"276",6833,399,9,1146,1,4,8,148
"277",15509,122,8,1136,7,3,8,738
"278",23492,35,7,763,10,2,4,1024
"279",20862,446,7,712,1,2,3,123
"280",896,215,8,560,3,3,2,332
"281",6608,205,13,1126,4,9,8,498
"282",32000,412,4,312,1,1,1,111
"283",27750,253,10,885,3,5,5,355
"284",7581,56,10,896,9,5,5,955
"285",352,177,10,1095,4,5,7,457
"286",3205,456,10,955,1,5,6,156
"287",22309,28,9,1153,10,4,8,1048
"288",28729,81,9,648,8,4,3,843
"289",22337,160,7,475,5,2,1,521
"290",18312,184,6,358,4,1,1,411
"291",9897,280,9,1022,2,4,7,247
"292",30142,82,10,590,8,5,2,852
"293",39015,99,6,802,8,1,4,814
"294",5687,241,11,965,3,7,6,376
"295",28713,327,3,82,2,1,1,211
"296",23489,167,6,415,5,1,1,511
"297",27345,194,6,507,4,1,1,411
"298",32784,289,8,1011,2,3,7,237
"299",23606,477,12,1140,1,8,8,188
"300",23057,260,7,613,3,2,2,322
"301",17232,92,12,1246,8,8,9,889
"302",29494,45,14,1126,10,9,8,1098
"303",3990,96,13,888,8,9,5,895
"304",11831,84,16,1523,8,10,10,910
"305",33207,91,12,1132,8,8,8,888
"306",2703,166,13,1325,5,9,9,599
"307",3885,45,14,1325,10,9,9,1099
"308",6895,74,9,838,9,4,5,945
"309",32528,39,10,703,10,5,3,1053
"310",23371,156,5,626,5,1,2,512
"311",13834,57,6,545,9,1,2,912
"312",18862,98,9,814,8,4,4,844
"313",4280,29,7,692,10,2,3,1023
"314",14990,64,20,1948,9,10,10,1010
"315",4772,149,13,1450,6,9,10,700
"316",3730,140,7,590,6,2,2,622
"317",3059,202,10,791,4,5,4,454
"318",39158,136,10,931,6,5,6,656
"319",13426,412,9,847,1,4,5,145
"320",15680,97,14,1556,8,9,10,900
"321",8501,58,12,848,9,8,5,985
"322",4919,547,6,684,1,1,3,113
"323",11689,391,7,783,2,2,4,224
"324",12915,224,5,403,3,1,1,311
"325",33635,251,12,1196,3,8,8,388
"326",28335,119,11,932,7,7,6,776
"327",17202,172,12,918,5,8,6,586
"328",21879,69,11,775,9,7,4,974
"329",17654,117,8,678,7,3,3,733
"330",39733,331,8,1025,2,3,7,237
"331",31994,219,6,555,3,1,2,312
"332",2573,56,10,783,9,5,4,954
"333",36068,387,7,709,2,2,3,223
"334",39830,324,11,984,2,7,6,276
"335",34275,174,9,1121,5,4,8,548
"336",36102,113,15,1360,7,10,9,809
"337",22653,238,8,809,3,3,4,334
"338",22859,150,15,1324,5,10,9,609
"339",31706,184,7,639,4,2,2,422
"340",2330,457,10,602,1,5,2,152
"341",28552,88,18,2162,8,10,10,910
"342",1750,98,14,1444,8,9,10,900
"343",19939,444,10,808,1,5,4,154
"344",13570,61,10,1348,9,5,9,959
"345",37471,99,16,1553,8,10,10,910
"346",10485,451,8,776,1,3,4,134
"347",29129,58,8,1045,9,3,7,937
"348",35712,95,8,1125,8,3,8,838
"349",37999,303,9,1018,2,4,7,247
"350",21922,173,16,1848,5,10,10,610
"351",35380,108,6,260,7,1,1,711
"352",34779,486,7,632,1,2,2,122
"353",10478,125,8,850,7,3,5,735
"354",21975,260,10,1041,3,5,7,357
"355",24305,126,9,899,6,4,5,645
"356",7538,107,19,2092,7,10,10,810
"357",28875,538,9,884,1,4,5,145
"358",29590,185,15,1576,4,10,10,510
"359",38922,173,6,413,5,1,1,511
"360",14148,156,14,1462,5,9,10,600
"361",906,128,17,1771,6,10,10,710
"362",14094,366,8,682,2,3,3,233
"363",11713,158,6,465,5,1,1,511
"364",1058,106,7,874,7,2,5,725
"365",27141,302,16,1207,2,10,8,308
"366",24053,528,8,932,1,3,6,136
"367",8688,129,7,492,6,2,1,621
"368",7257,525,7,648,1,2,3,123
"369",7011,240,14,1351,3,9,9,399
"370",35207,68,10,910,9,5,5,955
"371",2926,82,8,1051,8,3,7,837
"372",32611,402,7,947,1,2,6,126
"373",20581,23,10,871,10,5,5,1055
"374",13652,49,11,1119,9,7,8,978
"375",36595,138,8,810,6,3,4,634
"376",20128,179,7,367,4,2,1,421
"377",38148,100,13,901,8,9,5,895
"378",35137,159,13,1031,5,9,7,597
"379",11144,28,11,1229,10,7,9,1079
"380",11074,186,16,1674,4,10,10,510
"381",10413,124,11,933,7,7,6,776
"382",6265,435,9,642,1,4,3,143
"383",12538,58,6,593,9,1,2,912
"384",12793,130,9,577,6,4,2,642
"385",13002,132,11,953,6,7,6,676
"386",35374,165,11,641,5,7,3,573
"387",11851,438,9,1006,1,4,7,147
"388",11542,202,11,1062,4,7,7,477
"389",6290,188,7,570,4,2,2,422
"390",36237,140,7,616,6,2,2,622
"391",16359,190,9,783,4,4,4,444
"392",3164,40,11,1248,10,7,9,1079
"393",32548,213,10,1070,3,5,7,357
"394",33908,178,14,1595,4,9,10,500
"395",26463,184,7,752,4,2,4,424
"396",15036,224,14,1575,3,9,10,400
"397",12365,163,7,653,5,2,3,523
"398",28054,21,7,596,10,2,2,1022
"399",27742,150,12,1215,5,8,8,588
"400",21408,486,9,954,1,4,6,146
"401",23244,151,14,1240,5,9,9,599
"402",7412,123,5,335,7,1,1,711
"403",31374,121,9,912,7,4,5,745
"404",31042,14,12,1006,10,8,7,1087
"405",37767,143,20,1804,6,10,10,710
"406",240,172,10,1040,5,5,7,557
"407",2112,12,14,2019,10,9,10,1100
"408",24560,142,11,1223,6,7,8,678
"409",34438,46,12,1266,10,8,9,1089
"410",26095,86,6,682,8,1,3,813
"411",20191,152,10,957,5,5,6,556
"412",33075,36,8,570,10,3,2,1032
"413",23903,145,10,922,6,5,6,656
"414",2021,110,14,1384,7,9,9,799
"415",11941,181,9,676,4,4,3,443
"416",56,486,9,970,1,4,6,146
"417",26674,99,10,918,8,5,6,856
"418",36063,126,9,963,6,4,6,646
"419",29915,126,9,934,6,4,6,646
"420",24798,191,10,775,4,5,4,454
"421",1712,376,11,772,2,7,4,274
"422",15577,516,6,524,1,1,2,112
"423",2147,59,14,1103,9,9,8,998
"424",31134,297,15,1306,2,10,9,309
"425",5502,144,7,521,6,2,2,622
"426",21798,21,10,882,10,5,5,1055
"427",32547,168,9,957,5,4,6,546
"428",25790,3,14,1117,10,9,8,1098
"429",19619,125,13,1250,7,9,9,799
"430",4382,117,9,854,7,4,5,745
"431",9782,260,7,602,3,2,2,322
"432",5867,97,8,959,8,3,6,836
"433",13014,141,15,1536,6,10,10,710
"434",26768,158,5,365,5,1,1,511
"435",952,395,7,609,1,2,2,122
"436",35610,182,10,1031,4,5,7,457
"437",21150,195,10,930,4,5,6,456
"438",11494,469,4,203,1,1,1,111
"439",19151,163,8,869,5,3,5,535
"440",21779,251,8,800,3,3,4,334
"441",34471,155,11,1083,5,7,7,577
"442",9231,213,11,1302,3,7,9,379
"443",30564,552,7,395,1,2,1,121
"444",14374,203,12,1137,4,8,8,488
"445",29133,148,9,951,6,4,6,646
"446",8799,206,12,1129,4,8,8,488
"447",10194,404,9,729,1,4,3,143
"448",3504,53,7,516,9,2,2,922
"449",3654,215,11,1059,3,7,7,377
"450",7993,57,11,735,9,7,3,973
"451",11740,401,12,1105,1,8,8,188
"452",7825,202,8,550,4,3,2,432
"453",24561,108,12,1357,7,8,9,789
"454",14309,37,13,1380,10,9,9,1099
"455",7314,98,8,688,8,3,3,833
"456",38962,182,17,1824,4,10,10,510
"457",17591,929,2,251,1,1,1,111
"458",39129,160,14,1398,5,9,10,600
"459",16207,157,10,993,5,5,6,556
"460",35470,182,12,1140,4,8,8,488
"461",36619,246,4,304,3,1,1,311
"462",6508,118,8,576,7,3,2,732
"463",28446,124,14,1022,7,9,7,797
"464",17396,510,10,1089,1,5,7,157
"465",14881,134,6,499,6,1,1,611
"466",30369,24,7,862,10,2,5,1025
"467",24900,17,10,974,10,5,6,1056
"468",7880,170,5,668,5,1,3,513
"469",17889,359,10,845,2,5,5,255
"470",1190,220,13,1125,3,9,8,398
"471",30010,152,12,1091,5,8,7,587
"472",36840,88,11,939,8,7,6,876
"473",36135,22,13,1241,10,9,9,1099
"474",38837,229,12,1186,3,8,8,388
"475",34063,143,5,440,6,1,1,611
"476",21722,138,10,1068,6,5,7,657
"477",37906,238,14,1424,3,9,10,400
"478",29322,491,7,935,1,2,6,126
"479",16814,41,10,697,10,5,3,1053
"480",21323,39,10,1022,10,5,7,1057
"481",37708,56,9,845,9,4,5,945
"482",5005,380,4,424,2,1,1,211
"483",35133,182,10,1032,4,5,7,457
"484",5712,171,10,1413,5,5,10,560
"485",37996,34,8,663,10,3,3,1033
"486",22884,176,10,885,5,5,5,555
"487",16320,403,11,1109,1,7,8,178
"488",28100,51,10,996,9,5,6,956
"489",32456,99,9,579,8,4,2,842
"490",9984,85,12,978,8,8,6,886
"491",8898,155,10,1025,5,5,7,557
"492",20672,154,9,955,5,4,6,546
"493",6956,104,6,756,7,1,4,714
"494",4064,169,8,693,5,3,3,533
"495",31199,132,11,977,6,7,6,676
"496",9706,123,12,1018,7,8,7,787
"497",32816,29,14,1182,10,9,8,1098
"498",6008,254,7,819,3,2,4,324
"499",39585,177,6,549,4,1,2,412
"500",20698,74,17,1566,9,10,10,1010
"501",37738,85,8,617,8,3,2,832
"502",31321,127,6,789,6,1,4,614
"503",38394,423,7,598,1,2,2,122
"504",14580,66,10,994,9,5,6,956
"505",34768,239,9,1035,3,4,7,347
"506",27245,96,10,850,8,5,5,855
"507",21420,47,9,1191,9,4,8,948
"508",4843,80,7,933,8,2,6,826
"509",37659,184,11,776,4,7,4,474
"510",37026,148,15,1637,6,10,10,710
"511",7226,118,10,1004,7,5,7,757
"512",32408,96,11,1350,8,7,9,879
"513",5212,310,8,910,2,3,5,235
"514",27846,174,9,1019,5,4,7,547
"515",30574,296,8,1012,2,3,7,237
"516",35,34,9,709,10,4,3,1043
"517",7188,198,6,697,4,1,3,413
"518",2451,122,12,768,7,8,4,784
"519",39480,547,5,713,1,1,3,113
"520",12665,160,9,431,5,4,1,541
"521",13294,49,7,514,9,2,2,922
"522",15959,328,7,609,2,2,2,222
"523",32371,92,15,1285,8,10,9,909
"524",6361,284,10,621,2,5,2,252
"525",38781,203,10,952,4,5,6,456
"526",7235,528,10,995,1,5,6,156
"527",26078,145,3,280,6,1,1,611
"528",6065,78,13,1179,8,9,8,898
"529",37484,130,14,1573,6,9,10,700
"530",18565,85,12,1089,8,8,7,887
"531",30849,325,9,578,2,4,2,242
"532",37104,405,10,908,1,5,5,155
"533",32331,161,15,1832,5,10,10,610
"534",14079,96,8,660,8,3,3,833
"535",18328,41,12,1636,10,8,10,1090
"536",11271,59,8,774,9,3,4,934
"537",39956,108,11,996,7,7,6,776
"538",12407,229,9,653,3,4,3,343
"539",30012,76,9,655,9,4,3,943
"540",17824,74,10,715,9,5,3,953
"541",50,51,13,1430,9,9,10,1000
"542",1728,145,7,1084,6,2,7,627
"543",7486,78,10,1051,8,5,7,857
"544",1955,305,5,391,2,1,1,211
"545",490,130,11,827,6,7,5,675
"546",27447,33,11,827,10,7,5,1075
"547",27119,493,4,132,1,1,1,111
"548",25633,124,8,760,7,3,4,734
"549",8731,153,6,282,5,1,1,511
"550",2101,233,11,800,3,7,4,374
"551",30445,91,10,1123,8,5,8,858
"552",7072,380,8,681,2,3,3,233
"553",14513,165,13,1107,5,9,8,598
"554",19191,93,7,801,8,2,4,824
"555",16217,244,13,1398,3,9,10,400
"556",1206,101,8,790,8,3,4,834
"557",13996,265,10,822,3,5,4,354
"558",33286,114,11,1184,7,7,8,778
"559",27888,97,9,772,8,4,4,844
"560",1240,186,8,1161,4,3,8,438
"561",6973,237,5,520,3,1,2,312
"562",21033,78,13,877,8,9,5,895
"563",30787,138,5,391,6,1,1,611
"564",2502,19,13,1477,10,9,10,1100
"565",39049,513,5,371,1,1,1,111
"566",39521,221,6,542,3,1,2,312
"567",5891,167,13,910,5,9,5,595
"568",38876,84,14,1197,8,9,8,898
"569",101,130,16,1284,6,10,9,709
"570",16826,73,7,656,9,2,3,923
"571",6946,555,7,607,1,2,2,122
"572",19857,355,8,493,2,3,1,231
"573",33302,304,14,1308,2,9,9,299
"574",9672,170,6,559,5,1,2,512
"575",24939,11,13,1211,10,9,8,1098
"576",35757,210,13,1322,4,9,9,499
"577",13691,56,8,539,9,3,2,932
"578",4822,299,8,634,2,3,2,232
"579",13788,98,11,1212,8,7,8,878
"580",1683,156,11,1009,5,7,7,577
"581",9098,249,7,559,3,2,2,322
"582",14477,144,11,917,6,7,6,676
"583",20802,5,14,1627,10,9,10,1100
"584",27731,253,14,1523,3,9,10,400
"585",23442,124,12,685,7,8,3,783
"586",30913,155,9,753,5,4,4,544
"587",26728,361,7,503,2,2,1,221
"588",28225,419,5,728,1,1,3,113
"589",32603,122,7,740,7,2,4,724
"590",30035,89,8,774,8,3,4,834
"591",16270,105,7,632,7,2,2,722
"592",29715,165,11,791,5,7,4,574
"593",2649,304,9,700,2,4,3,243
"594",38104,245,7,250,3,2,1,321
"595",31971,106,15,1348,7,10,9,809
"596",25963,210,11,890,4,7,5,475
"597",13309,372,8,1038,2,3,7,237
"598",31359,198,19,2004,4,10,10,510
"599",32684,153,16,1188,5,10,8,608
"600",39834,3,9,484,10,4,1,1041
"601",13905,21,13,1458,10,9,10,1100
"602",5968,448,5,294,1,1,1,111
"603",16339,195,14,1315,4,9,9,499
"604",369,236,14,1430,3,9,10,400
"605",165,371,10,963,2,5,6,256
"606",36220,333,15,1399,2,10,10,310
"607",28247,78,8,607,8,3,2,832
"608",1228,35,6,556,10,1,2,1012
"609",22797,77,13,1321,8,9,9,899
"610",16743,109,12,1347,7,8,9,789
"611",6793,241,10,863,3,5,5,355
"612",22614,319,4,175,2,1,1,211
"613",7749,312,10,1093,2,5,7,257
"614",591,520,9,931,1,4,6,146
"615",13204,310,10,798,2,5,4,254
"616",18161,80,10,1081,8,5,7,857
"617",18215,222,10,1045,3,5,7,357
"618",25124,139,10,1013,6,5,7,657
"619",32910,235,8,824,3,3,4,334
"620",16871,64,10,842,9,5,5,955
"621",11371,482,6,445,1,1,1,111
"622",14018,10,6,540,10,1,2,1012
"623",26657,68,12,980,9,8,6,986
"624",13418,230,13,1495,3,9,10,400
"625",23028,127,7,361,6,2,1,621
"626",17266,69,7,939,9,2,6,926
"627",15647,123,9,464,7,4,1,741
"628",34156,93,13,1069,8,9,7,897
"629",6291,350,6,634,2,1,2,212
"630",17157,189,8,662,4,3,3,433
"631",25137,35,11,1380,10,7,9,1079
"632",25911,258,8,429,3,3,1,331
"633",1306,383,11,848,2,7,5,275
"634",11568,129,8,1088,6,3,7,637
"635",24129,165,10,1125,5,5,8,558
"636",34387,211,10,1166,3,5,8,358
"637",12536,219,8,789,3,3,4,334
"638",18315,272,6,849,2,1,5,215
"639",8607,88,10,851,8,5,5,855
"640",24144,330,7,817,2,2,4,224
"641",3746,8,16,1402,10,10,10,1110
"642",33109,143,9,486,6,4,1,641
"643",35933,169,7,643,5,2,3,523
"644",7583,196,14,1290,4,9,9,499
"645",37113,499,10,661,1,5,3,153
"646",37453,173,12,1016,5,8,7,587
"647",31946,532,10,1152,1,5,8,158
"648",13307,340,7,548,2,2,2,222
"649",30995,133,9,872,6,4,5,645
"650",25669,237,10,652,3,5,3,353
"651",29323,90,7,729,8,2,3,823
"652",18379,115,15,1073,7,10,7,807
"653",31969,108,9,659,7,4,3,743
"654",25289,47,8,1027,9,3,7,937
"655",19801,70,17,1542,9,10,10,1010
"656",37442,132,6,596,6,1,2,612
"657",22232,169,5,655,5,1,3,513
"658",25577,430,8,749,1,3,4,134
"659",17018,147,8,354,6,3,1,631
"660",34657,102,9,939,7,4,6,746
"661",8105,152,13,1196,5,9,8,598
"662",16924,362,5,849,2,1,5,215
"663",18821,185,14,1173,4,9,8,498
"664",36568,163,10,796,5,5,4,554
"665",39780,54,6,558,9,1,2,912
"666",18412,265,5,563,3,1,2,312
"667",19055,85,7,620,8,2,2,822
"668",35973,454,5,500,1,1,1,111
"669",38162,302,13,1443,2,9,10,300
"670",33921,21,13,1512,10,9,10,1100
"671",39403,104,14,1493,7,9,10,800
"672",19596,65,12,1070,9,8,7,987
"673",33864,50,13,1765,9,9,10,1000
"674",34224,224,12,941,3,8,6,386
"675",33110,175,16,1332,5,10,9,609
"676",27759,476,6,497,1,1,1,111
"677",32907,161,10,903,5,5,5,555
"678",26179,408,8,953,1,3,6,136
"679",3451,550,3,260,1,1,1,111
