"","age","price","bedrooms","bathrooms","bathroom_to_bedroom_ratio","floors","waterfront","view","condition","grade","yr_renovated","sqft_living15","sqft_lot15","sqft_above","sqft_basement"
"73","Old","Premium","4","2","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Average","Large","Very Small"
"74","New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Small","Large","No basement"
"75","Average","Affordable","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Average","Very large","Very small","Medium"
"76","Moderately New","Ultra premium","4","4","Adequate","2","No","No view","Good","Good","Not renovated","Very large","Very large","Large","Small"
"77","Moderately Old","Affordable","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Very small","Large"
"78","Old","Expensive","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Very small","No basement"
"79","Moderately Old","Expensive","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Very small","Medium"
"80","New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"81","New","Affordable","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Small","Large","No basement"
"82","Moderately New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Small","Large","No basement"
"83","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Small","Very small","Large"
"84","Moderately Old","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Large","Average","No basement"
"85","Moderately Old","Affordable","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Small","Average","Very small","No basement"
"86","Old","Ultra premium","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Large","Very Small"
"87","Moderately Old","Affordable","5","2","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Average","Very large","No basement"
"88","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Average","Large","Small"
"89","Average","Cheap","2","2","Adequate","2","No","No view","Good","Decent","Not renovated","Average","Very small","Average","No basement"
"90","New","Affordable","2","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Very small","Very small","Very small","Small"
"91","Moderately New","Cheap","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Average","Large","No basement"
"92","Moderately New","Ultra premium","5","3","Adequate","2","No","No view","Good","Good","Not renovated","Very large","Small","Very large","No basement"
"93","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Large","Small","No basement"
"94","Old","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very small","Small","Very Small"
"95","Old","Premium","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very small","Small","Very Small"
"96","Moderately Old","Ultra premium","4","3","Adequate","1","No","No view","Decent","Decent","Renovated","Average","Small","Large","Small"
"97","Average","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Very large","Large","No basement"
"98","Average","Cheap","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Small","No basement"
"99","Average","Affordable","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Very large","Small","Small"
"100","Moderately New","Expensive","3","3","Adequate","2","No","Multiple views","Decent","Decent","Not renovated","Very large","Very large","Large","No basement"
"101","Old","Ultra premium","3","3","Adequate","1","No","No view","Excellent","Decent","Not renovated","Large","Very small","Small","Medium"
"102","Old","Premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very small","Average","Small"
"103","Moderately New","Premium","3","2","Adequate","2","No","No view","Good","Decent","Not renovated","Very large","Very large","Large","No basement"
"104","Moderately Old","Ultra premium","3","3","Adequate","2","No","No view","Decent","Decent","Renovated","Large","Average","Very large","No basement"
"105","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very large","Small","No basement"
"106","Average","Affordable","3","3","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Average","Average","Medium"
"107","Old","Expensive","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Very small","Small","Small"
"108","Moderately New","Cheap","2","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Small","No basement"
"109","Moderately New","Premium","4","3","Adequate","2","No","No view","Good","Good","Not renovated","Very large","Very large","Very large","No basement"
"110","Old","Expensive","5","2","Less than adequate","2","No","No view","Good","Decent","Not renovated","Large","Large","Large","No basement"
"111","Moderately New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Large","Large","No basement"
"112","Old","Premium","3","2","Adequate","1","No","No view","Excellent","Poor","Not renovated","Very small","Very small","Very small","Large"
"113","Average","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very large","Small","Small"
"114","Average","Affordable","3","2","Adequate","1","No","Multiple views","Decent","Decent","Not renovated","Large","Small","Very small","Large"
"115","New","Expensive","4","3","Adequate","2","No","Multiple views","Decent","Decent","Not renovated","Very large","Large","Very large","Small"
"116","Very Old","Ultra premium","3","4","More than adequate","2","No","No view","Decent","Decent","Renovated","Average","Small","Very large","Medium"
"117","New","Expensive","3","4","More than adequate","3","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","No basement"
"118","Old","Cheap","2","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Average","Very small","No basement"
"119","Moderately Old","Cheap","4","2","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Average","Large","Average","No basement"
"120","Old","Premium","4","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Very small","Average","No basement"
"121","Moderately Old","Premium","3","3","Adequate","1","No","Multiple views","Decent","Decent","Not renovated","Large","Large","Average","Medium"
"122","Moderately New","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Average","No basement"
"123","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Average","Small","Very small","No basement"
"124","Old","Expensive","4","2","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Average","Very small","Average","Very Small"
"125","Moderately New","Ultra premium","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","No basement"
"126","Old","Ultra premium","4","3","Adequate","1","No","No view","Decent","Decent","Renovated","Very large","Very large","Large","Small"
"127","Average","Expensive","3","2","Adequate","1","No","Multiple views","Decent","Decent","Not renovated","Very large","Large","Average","Small"
"128","Average","Cheap","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Small","Medium"
"129","Old","Ultra premium","5","4","Adequate","2","No","No view","Excellent","Decent","Not renovated","Average","Small","Average","Small"
"130","New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Large","No basement"
"131","Moderately New","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Average","Very small","No basement"
"132","Moderately New","Premium","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Average","Small"
"133","Moderately New","Ultra premium","3","4","More than adequate","1","No","No view","Decent","Decent","Not renovated","Large","Very large","Very large","Medium"
"134","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Small","Small"
"135","New","Premium","4","4","Adequate","3","No","No view","Decent","Decent","Not renovated","Small","Very small","Large","No basement"
"136","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very large","Small","No basement"
"137","Average","Cheap","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Very small","Large"
"138","Average","Expensive","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Large","Small","Large"
"139","Average","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Small","Small","No basement"
"140","New","Premium","3","2","Adequate","3","No","No view","Decent","Decent","Not renovated","Very small","Very small","Small","No basement"
"141","Old","Premium","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Very small","Very small","No basement"
"142","Average","Premium","5","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Large","Average","Large"
"143","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Large","Very small","Medium"
"144","Old","Expensive","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Average","Very small","Very Small"
"145","Moderately Old","Expensive","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Small","Small"
"146","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Good","Decent","Not renovated","Very large","Very large","Very large","No basement"
"147","Old","Ultra premium","4","1","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very small","Large","Very Small"
"148","New","Expensive","2","3","More than adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very large","Very large","No basement"
"149","Moderately Old","Cheap","5","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Very large","Small","Large"
"150","Moderately Old","Expensive","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very small","Very small","Small"
"151","Moderately New","Premium","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Small","No basement"
"152","Moderately Old","Premium","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Very small","No basement"
"153","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Large","Small","No basement"
"154","New","Ultra premium","4","3","Adequate","2","No","Multiple views","Decent","Good","Not renovated","Very large","Large","Very large","Small"
"155","Old","Affordable","1","1","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Very small","No basement"
"156","Average","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Average","Small","No basement"
"157","Moderately New","Premium","5","4","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","Medium"
"158","Average","Affordable","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Average","Medium"
"159","Old","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Recently renovated","Very small","Average","Small","No basement"
"160","Average","Affordable","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Very large","Average","No basement"
"161","Moderately Old","Cheap","5","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Very large","Very small","Large"
"162","Moderately Old","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Large","Large","No basement"
"163","Moderately New","Ultra premium","3","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"164","Average","Expensive","3","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Small","Medium"
"165","Average","Expensive","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Very large","Very small","Large"
"166","Average","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Small","Small"
"167","Moderately Old","Cheap","2","2","Adequate","1","No","No view","Excellent","Poor","Not renovated","Average","Large","Very small","Large"
"168","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very small","Very large","No basement"
"169","Average","Premium","3","3","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Average","Medium"
"170","Average","Affordable","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Average","Average","Small","No basement"
"171","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Average","No basement"
"172","Average","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Average","Small"
"173","Moderately Old","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Small","No basement"
"174","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","Medium"
"175","Average","Premium","4","2","Less than adequate","2","No","No view","Good","Decent","Not renovated","Large","Average","Very large","No basement"
"176","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Very small","Small"
"177","Moderately New","Expensive","5","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Very small","Small","Small"
"178","Very Old","Affordable","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Very small","Small","No basement"
"179","Average","Cheap","3","2","Adequate","1","No","Multiple views","Good","Decent","Not renovated","Average","Large","Small","Small"
"180","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Very small","Small"
"181","Moderately New","Cheap","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Small","Average","No basement"
"182","Old","Expensive","4","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Average","Small"
"183","Moderately Old","Premium","4","3","Adequate","2","No","No view","Excellent","Decent","Not renovated","Large","Large","Very large","No basement"
"184","Moderately New","Cheap","2","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Very small","Very small","Very small","No basement"
"185","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","Small"
"186","Moderately New","Ultra premium","5","3","Adequate","1","No","Multiple views","Good","Good","Not renovated","Very large","Large","Large","Large"
"187","Average","Cheap","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Very small","Small"
"188","Moderately New","Premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","No basement"
"189","Very Old","Premium","4","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Very small","Small","No basement"
"190","Average","Premium","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Average","Medium"
"191","Average","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Small","Small"
"192","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Average","Small","No basement"
"193","Moderately Old","Ultra premium","3","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Large","Large","No basement"
"194","Moderately Old","Expensive","3","3","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Average","Medium"
"195","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Very small","No basement"
"196","New","Cheap","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Average","No basement"
"197","Old","Expensive","4","2","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Small","Small","Medium"
"198","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Large","No basement"
"199","Moderately New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very large","Large","No basement"
"200","Average","Affordable","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very large","Small","No basement"
"201","Old","Cheap","3","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Large","Very small","No basement"
"202","Moderately New","Cheap","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","No basement"
"203","Moderately Old","Expensive","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Very small","No basement"
"204","Average","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Average","Very small","Small"
"205","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Average","Very small","No basement"
"206","Average","Ultra premium","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very large","Large","Average","Medium"
"207","New","Premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very small","Very large","No basement"
"208","Old","Expensive","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Very small","No basement"
"209","Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Very large","Very small","No basement"
"210","Old","Expensive","6","3","Less than adequate","2","No","No view","Decent","Decent","Renovated","Small","Very small","Average","Small"
"211","Moderately New","Affordable","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Small","Small","Average","No basement"
"212","New","Premium","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Very small","Very small","Very small","Very Small"
"213","Moderately New","Premium","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Very large","Large","No basement"
"214","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","No basement"
"215","Average","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Average","No basement"
"216","Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Very large","Very small","No basement"
"217","Moderately Old","Ultra premium","5","3","Adequate","1","No","Multiple views","Decent","Decent","Renovated","Very large","Very large","Large","Large"
"218","Moderately New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very small","Small","Large","No basement"
"219","Moderately Old","Ultra premium","2","2","Adequate","1","No","Multiple views","Decent","Decent","Not renovated","Very large","Small","Large","Large"
"220","Moderately Old","Expensive","2","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Very large","Small","No basement"
"221","Moderately New","Premium","4","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Average","Very large","No basement"
"222","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Large","Small","Small"
"223","Moderately New","Premium","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Average","Large","Large","No basement"
"224","Average","Affordable","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Large","Very Small"
"225","Moderately New","Affordable","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Average","Large","No basement"
"226","Old","Affordable","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Very small","Average","Small","No basement"
"227","New","Expensive","2","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Average","No basement"
"228","Average","Cheap","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Large","Very small","Medium"
"229","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Very large","Very small","Small"
"230","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very small","Average","No basement"
"231","Old","Premium","2","2","Adequate","2","Yes","Multiple views","Decent","Decent","Renovated","Large","Very large","Small","Very Small"
"232","Moderately Old","Expensive","4","3","Adequate","1","No","No view","Excellent","Decent","Not renovated","Large","Very large","Large","No basement"
"233","Average","Affordable","6","3","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Large","Average","Large","Medium"
"234","Moderately Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Very large","Very small","No basement"
"235","Moderately Old","Expensive","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Large","Very small","Average","Medium"
"236","Moderately New","Ultra premium","5","4","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"237","Average","Expensive","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Large","Very large","Average","Small"
